DateTime,Junction,Vehicles,ID,Year,Month,day_of_month,day_of_week,Date,Time,Quarter,day_of_year,Seconds
1446336000.0,1,15,20151101001,2015,11,1,6,0,0,4,305,0
1446339600.0,1,13,20151101011,2015,11,1,6,0,1,4,305,3600
1446343200.0,1,10,20151101021,2015,11,1,6,0,2,4,305,7200
1446346800.0,1,7,20151101031,2015,11,1,6,0,3,4,305,10800
1446350400.0,1,9,20151101041,2015,11,1,6,0,4,4,305,14400
1446354000.0,1,6,20151101051,2015,11,1,6,0,5,4,305,18000
1446357600.0,1,9,20151101061,2015,11,1,6,0,6,4,305,21600
1446361200.0,1,8,20151101071,2015,11,1,6,0,7,4,305,25200
1446364800.0,1,11,20151101081,2015,11,1,6,0,8,4,305,28800
1446368400.0,1,12,20151101091,2015,11,1,6,0,9,4,305,32400
1446372000.0,1,15,20151101101,2015,11,1,6,0,10,4,305,36000
1446375600.0,1,17,20151101111,2015,11,1,6,0,11,4,305,39600
1446379200.0,1,16,20151101121,2015,11,1,6,0,12,4,305,43200
1446382800.0,1,15,20151101131,2015,11,1,6,0,13,4,305,46800
1446386400.0,1,16,20151101141,2015,11,1,6,0,14,4,305,50400
1446390000.0,1,12,20151101151,2015,11,1,6,0,15,4,305,54000
1446393600.0,1,12,20151101161,2015,11,1,6,0,16,4,305,57600
1446397200.0,1,16,20151101171,2015,11,1,6,0,17,4,305,61200
1446400800.0,1,17,20151101181,2015,11,1,6,0,18,4,305,64800
1446404400.0,1,20,20151101191,2015,11,1,6,0,19,4,305,68400
1446408000.0,1,17,20151101201,2015,11,1,6,0,20,4,305,72000
1446411600.0,1,19,20151101211,2015,11,1,6,0,21,4,305,75600
1446415200.0,1,20,20151101221,2015,11,1,6,0,22,4,305,79200
1446418800.0,1,15,20151101231,2015,11,1,6,0,23,4,305,82800
1446422400.0,1,14,20151102001,2015,11,2,0,1,0,4,306,0
1446426000.0,1,12,20151102011,2015,11,2,0,1,1,4,306,3600
1446429600.0,1,14,20151102021,2015,11,2,0,1,2,4,306,7200
1446433200.0,1,12,20151102031,2015,11,2,0,1,3,4,306,10800
1446436800.0,1,12,20151102041,2015,11,2,0,1,4,4,306,14400
1446440400.0,1,11,20151102051,2015,11,2,0,1,5,4,306,18000
1446444000.0,1,13,20151102061,2015,11,2,0,1,6,4,306,21600
1446447600.0,1,14,20151102071,2015,11,2,0,1,7,4,306,25200
1446451200.0,1,12,20151102081,2015,11,2,0,1,8,4,306,28800
1446454800.0,1,22,20151102091,2015,11,2,0,1,9,4,306,32400
1446458400.0,1,32,20151102101,2015,11,2,0,1,10,4,306,36000
1446462000.0,1,31,20151102111,2015,11,2,0,1,11,4,306,39600
1446465600.0,1,35,20151102121,2015,11,2,0,1,12,4,306,43200
1446469200.0,1,26,20151102131,2015,11,2,0,1,13,4,306,46800
1446472800.0,1,34,20151102141,2015,11,2,0,1,14,4,306,50400
1446476400.0,1,30,20151102151,2015,11,2,0,1,15,4,306,54000
1446480000.0,1,27,20151102161,2015,11,2,0,1,16,4,306,57600
1446483600.0,1,27,20151102171,2015,11,2,0,1,17,4,306,61200
1446487200.0,1,24,20151102181,2015,11,2,0,1,18,4,306,64800
1446490800.0,1,26,20151102191,2015,11,2,0,1,19,4,306,68400
1446494400.0,1,29,20151102201,2015,11,2,0,1,20,4,306,72000
1446498000.0,1,32,20151102211,2015,11,2,0,1,21,4,306,75600
1446501600.0,1,30,20151102221,2015,11,2,0,1,22,4,306,79200
1446505200.0,1,27,20151102231,2015,11,2,0,1,23,4,306,82800
1446508800.0,1,21,20151103001,2015,11,3,1,2,0,4,307,0
1446512400.0,1,18,20151103011,2015,11,3,1,2,1,4,307,3600
1446516000.0,1,19,20151103021,2015,11,3,1,2,2,4,307,7200
1446519600.0,1,13,20151103031,2015,11,3,1,2,3,4,307,10800
1446523200.0,1,11,20151103041,2015,11,3,1,2,4,4,307,14400
1446526800.0,1,11,20151103051,2015,11,3,1,2,5,4,307,18000
1446530400.0,1,11,20151103061,2015,11,3,1,2,6,4,307,21600
1446534000.0,1,14,20151103071,2015,11,3,1,2,7,4,307,25200
1446537600.0,1,15,20151103081,2015,11,3,1,2,8,4,307,28800
1446541200.0,1,29,20151103091,2015,11,3,1,2,9,4,307,32400
1446544800.0,1,33,20151103101,2015,11,3,1,2,10,4,307,36000
1446548400.0,1,32,20151103111,2015,11,3,1,2,11,4,307,39600
1446552000.0,1,32,20151103121,2015,11,3,1,2,12,4,307,43200
1446555600.0,1,29,20151103131,2015,11,3,1,2,13,4,307,46800
1446559200.0,1,27,20151103141,2015,11,3,1,2,14,4,307,50400
1446562800.0,1,26,20151103151,2015,11,3,1,2,15,4,307,54000
1446566400.0,1,28,20151103161,2015,11,3,1,2,16,4,307,57600
1446570000.0,1,26,20151103171,2015,11,3,1,2,17,4,307,61200
1446573600.0,1,25,20151103181,2015,11,3,1,2,18,4,307,64800
1446577200.0,1,29,20151103191,2015,11,3,1,2,19,4,307,68400
1446580800.0,1,26,20151103201,2015,11,3,1,2,20,4,307,72000
1446584400.0,1,24,20151103211,2015,11,3,1,2,21,4,307,75600
1446588000.0,1,25,20151103221,2015,11,3,1,2,22,4,307,79200
1446591600.0,1,20,20151103231,2015,11,3,1,2,23,4,307,82800
1446595200.0,1,18,20151104001,2015,11,4,2,3,0,4,308,0
1446598800.0,1,18,20151104011,2015,11,4,2,3,1,4,308,3600
1446602400.0,1,13,20151104021,2015,11,4,2,3,2,4,308,7200
1446606000.0,1,13,20151104031,2015,11,4,2,3,3,4,308,10800
1446609600.0,1,10,20151104041,2015,11,4,2,3,4,4,308,14400
1446613200.0,1,12,20151104051,2015,11,4,2,3,5,4,308,18000
1446616800.0,1,13,20151104061,2015,11,4,2,3,6,4,308,21600
1446620400.0,1,11,20151104071,2015,11,4,2,3,7,4,308,25200
1446624000.0,1,13,20151104081,2015,11,4,2,3,8,4,308,28800
1446627600.0,1,22,20151104091,2015,11,4,2,3,9,4,308,32400
1446631200.0,1,26,20151104101,2015,11,4,2,3,10,4,308,36000
1446634800.0,1,27,20151104111,2015,11,4,2,3,11,4,308,39600
1446638400.0,1,31,20151104121,2015,11,4,2,3,12,4,308,43200
1446642000.0,1,24,20151104131,2015,11,4,2,3,13,4,308,46800
1446645600.0,1,23,20151104141,2015,11,4,2,3,14,4,308,50400
1446649200.0,1,26,20151104151,2015,11,4,2,3,15,4,308,54000
1446652800.0,1,26,20151104161,2015,11,4,2,3,16,4,308,57600
1446656400.0,1,24,20151104171,2015,11,4,2,3,17,4,308,61200
1446660000.0,1,23,20151104181,2015,11,4,2,3,18,4,308,64800
1446663600.0,1,25,20151104191,2015,11,4,2,3,19,4,308,68400
1446667200.0,1,26,20151104201,2015,11,4,2,3,20,4,308,72000
1446670800.0,1,24,20151104211,2015,11,4,2,3,21,4,308,75600
1446674400.0,1,26,20151104221,2015,11,4,2,3,22,4,308,79200
1446678000.0,1,24,20151104231,2015,11,4,2,3,23,4,308,82800
1446681600.0,1,19,20151105001,2015,11,5,3,4,0,4,309,0
1446685200.0,1,20,20151105011,2015,11,5,3,4,1,4,309,3600
1446688800.0,1,18,20151105021,2015,11,5,3,4,2,4,309,7200
1446692400.0,1,13,20151105031,2015,11,5,3,4,3,4,309,10800
1446696000.0,1,13,20151105041,2015,11,5,3,4,4,4,309,14400
1446699600.0,1,9,20151105051,2015,11,5,3,4,5,4,309,18000
1446703200.0,1,12,20151105061,2015,11,5,3,4,6,4,309,21600
1446706800.0,1,12,20151105071,2015,11,5,3,4,7,4,309,25200
1446710400.0,1,15,20151105081,2015,11,5,3,4,8,4,309,28800
1446714000.0,1,16,20151105091,2015,11,5,3,4,9,4,309,32400
1446717600.0,1,23,20151105101,2015,11,5,3,4,10,4,309,36000
1446721200.0,1,24,20151105111,2015,11,5,3,4,11,4,309,39600
1446724800.0,1,25,20151105121,2015,11,5,3,4,12,4,309,43200
1446728400.0,1,24,20151105131,2015,11,5,3,4,13,4,309,46800
1446732000.0,1,26,20151105141,2015,11,5,3,4,14,4,309,50400
1446735600.0,1,22,20151105151,2015,11,5,3,4,15,4,309,54000
1446739200.0,1,20,20151105161,2015,11,5,3,4,16,4,309,57600
1446742800.0,1,20,20151105171,2015,11,5,3,4,17,4,309,61200
1446746400.0,1,22,20151105181,2015,11,5,3,4,18,4,309,64800
1446750000.0,1,26,20151105191,2015,11,5,3,4,19,4,309,68400
1446753600.0,1,22,20151105201,2015,11,5,3,4,20,4,309,72000
1446757200.0,1,21,20151105211,2015,11,5,3,4,21,4,309,75600
